Job_ID,Job_Title,Company,Company_Type,Industry,City,Location_Tier,Experience_Level,Job_Type,Work_Mode,Salary_LPA,Skills_Required,Education_Required,Openings,Applicants,Company_Rating,Date_Posted
IND2025000,Android Developer,Tech Mahindra,MNC,Information Technology,Remote,Remote,Senior (6-10 yrs),Full-Time,Remote,30.9,Kotlin,M.Tech/M.E.,3,276,4.0,2025-10-31
IND2025000,Android Developer,Tech Mahindra,MNC,Information Technology,Remote,Remote,Senior (6-10 yrs),Full-Time,Remote,30.9,Java,M.Tech/M.E.,3,276,4.0,2025-10-31
IND2025000,Android Developer,Tech Mahindra,MNC,Information Technology,Remote,Remote,Senior (6-10 yrs),Full-Time,Remote,30.9,REST APIs,M.Tech/M.E.,3,276,4.0,2025-10-31
IND2025001,QA Engineer,Dream11,Indian Unicorn,Information Technology,Lucknow,Tier 2,Senior (6-10 yrs),Full-Time,Hybrid,58.6,Selenium,B.Tech/B.E.,3,325,4.0,2025-05-19
IND2025001,QA Engineer,Dream11,Indian Unicorn,Information Technology,Lucknow,Tier 2,Senior (6-10 yrs),Full-Time,Hybrid,58.6,Manual Testing,B.Tech/B.E.,3,325,4.0,2025-05-19
IND2025001,QA Engineer,Dream11,Indian Unicorn,Information Technology,Lucknow,Tier 2,Senior (6-10 yrs),Full-Time,Hybrid,58.6,Postman,B.Tech/B.E.,3,325,4.0,2025-05-19
IND2025001,QA Engineer,Dream11,Indian Unicorn,Information Technology,Lucknow,Tier 2,Senior (6-10 yrs),Full-Time,Hybrid,58.6,API Testing,B.Tech/B.E.,3,325,4.0,2025-05-19
IND2025001,QA Engineer,Dream11,Indian Unicorn,Information Technology,Lucknow,Tier 2,Senior (6-10 yrs),Full-Time,Hybrid,58.6,Python,B.Tech/B.E.,3,325,4.0,2025-05-19
IND2025002,Business Analyst,HAL,PSU/Govt,EdTech,Remote,Remote,Senior (6-10 yrs),Full-Time,Remote,18.4,JIRA,MCA,5,559,3.6,2024-08-21
IND2025002,Business Analyst,HAL,PSU/Govt,EdTech,Remote,Remote,Senior (6-10 yrs),Full-Time,Remote,18.4,Excel,MCA,5,559,3.6,2024-08-21
IND2025002,Business Analyst,HAL,PSU/Govt,EdTech,Remote,Remote,Senior (6-10 yrs),Full-Time,Remote,18.4,Power BI,MCA,5,559,3.6,2024-08-21
IND2025003,Cybersecurity Analyst,Groww,Startup,Information Technology,Mumbai,Tier 1,Mid (3-6 yrs),Full-Time,Hybrid,21.7,Penetration Testing,BCA,3,184,3.5,2026-03-18
IND2025003,Cybersecurity Analyst,Groww,Startup,Information Technology,Mumbai,Tier 1,Mid (3-6 yrs),Full-Time,Hybrid,21.7,Python,BCA,3,184,3.5,2026-03-18
IND2025003,Cybersecurity Analyst,Groww,Startup,Information Technology,Mumbai,Tier 1,Mid (3-6 yrs),Full-Time,Hybrid,21.7,Ethical Hacking,BCA,3,184,3.5,2026-03-18
IND2025003,Cybersecurity Analyst,Groww,Startup,Information Technology,Mumbai,Tier 1,Mid (3-6 yrs),Full-Time,Hybrid,21.7,SIEM,BCA,3,184,3.5,2026-03-18
IND2025003,Cybersecurity Analyst,Groww,Startup,Information Technology,Mumbai,Tier 1,Mid (3-6 yrs),Full-Time,Hybrid,21.7,Network Security,BCA,3,184,3.5,2026-03-18
IND2025004,Python Developer,Oracle,MNC,EdTech,Remote,Remote,Junior (1-3 yrs),Full-Time,Remote,8.0,Docker,MCA,1,64,3.9,2024-10-25
IND2025004,Python Developer,Oracle,MNC,EdTech,Remote,Remote,Junior (1-3 yrs),Full-Time,Remote,8.0,REST APIs,MCA,1,64,3.9,2024-10-25
IND2025004,Python Developer,Oracle,MNC,EdTech,Remote,Remote,Junior (1-3 yrs),Full-Time,Remote,8.0,AWS,MCA,1,64,3.9,2024-10-25
IND2025004,Python Developer,Oracle,MNC,EdTech,Remote,Remote,Junior (1-3 yrs),Full-Time,Remote,8.0,PostgreSQL,MCA,1,64,3.9,2024-10-25
IND2025005,Backend Developer,Nykaa,Indian Unicorn,Information Technology,Indore,Tier 2,Junior (1-3 yrs),Part-Time,Hybrid,10.5,Java,B.Tech/B.E.,2,75,3.6,2026-04-28
IND2025005,Backend Developer,Nykaa,Indian Unicorn,Information Technology,Indore,Tier 2,Junior (1-3 yrs),Part-Time,Hybrid,10.5,Docker,B.Tech/B.E.,2,75,3.6,2026-04-28
IND2025005,Backend Developer,Nykaa,Indian Unicorn,Information Technology,Indore,Tier 2,Junior (1-3 yrs),Part-Time,Hybrid,10.5,MongoDB,B.Tech/B.E.,2,75,3.6,2026-04-28
IND2025006,Power BI Developer,PhonePe,Indian Unicorn,Banking & Finance,Remote,Remote,Mid (3-6 yrs),Full-Time,Remote,18.0,Power BI,MCA,15,1687,3.4,2024-06-04
IND2025006,Power BI Developer,PhonePe,Indian Unicorn,Banking & Finance,Remote,Remote,Mid (3-6 yrs),Full-Time,Remote,18.0,SQL,MCA,15,1687,3.4,2024-06-04
IND2025006,Power BI Developer,PhonePe,Indian Unicorn,Banking & Finance,Remote,Remote,Mid (3-6 yrs),Full-Time,Remote,18.0,Excel,MCA,15,1687,3.4,2024-06-04
IND2025006,Power BI Developer,PhonePe,Indian Unicorn,Banking & Finance,Remote,Remote,Mid (3-6 yrs),Full-Time,Remote,18.0,DAX,MCA,15,1687,3.4,2024-06-04
IND2025006,Power BI Developer,PhonePe,Indian Unicorn,Banking & Finance,Remote,Remote,Mid (3-6 yrs),Full-Time,Remote,18.0,Data Modeling,MCA,15,1687,3.4,2024-06-04
IND2025007,Business Analyst,Cisco,MNC,Information Technology,Pune,Tier 1,Junior (1-3 yrs),Full-Time,Hybrid,11.7,Agile,MCA,1,75,4.3,2024-06-20
IND2025007,Business Analyst,Cisco,MNC,Information Technology,Pune,Tier 1,Junior (1-3 yrs),Full-Time,Hybrid,11.7,Power BI,MCA,1,75,4.3,2024-06-20
IND2025007,Business Analyst,Cisco,MNC,Information Technology,Pune,Tier 1,Junior (1-3 yrs),Full-Time,Hybrid,11.7,Requirements Gathering,MCA,1,75,4.3,2024-06-20
IND2025008,Java Developer,HCL Technologies,MNC,Banking & Finance,Remote,Remote,Fresher (0-1 yr),Full-Time,On-Site,5.3,REST APIs,MCA,2,190,4.3,2025-02-27
IND2025008,Java Developer,HCL Technologies,MNC,Banking & Finance,Remote,Remote,Fresher (0-1 yr),Full-Time,On-Site,5.3,Hibernate,MCA,2,190,4.3,2025-02-27
IND2025008,Java Developer,HCL Technologies,MNC,Banking & Finance,Remote,Remote,Fresher (0-1 yr),Full-Time,On-Site,5.3,Maven,MCA,2,190,4.3,2025-02-27
IND2025008,Java Developer,HCL Technologies,MNC,Banking & Finance,Remote,Remote,Fresher (0-1 yr),Full-Time,On-Site,5.3,Spring Boot,MCA,2,190,4.3,2025-02-27
IND2025009,Technical Lead,Chargebee,Startup,Media & Entertainment,Delhi,Tier 1,Junior (1-3 yrs),Full-Time,On-Site,12.2,Microservices,M.Tech/M.E.,3,282,2.7,2026-01-24
IND2025009,Technical Lead,Chargebee,Startup,Media & Entertainment,Delhi,Tier 1,Junior (1-3 yrs),Full-Time,On-Site,12.2,System Design,M.Tech/M.E.,3,282,2.7,2026-01-24
IND2025009,Technical Lead,Chargebee,Startup,Media & Entertainment,Delhi,Tier 1,Junior (1-3 yrs),Full-Time,On-Site,12.2,Team Leadership,M.Tech/M.E.,3,282,2.7,2026-01-24
IND2025009,Technical Lead,Chargebee,Startup,Media & Entertainment,Delhi,Tier 1,Junior (1-3 yrs),Full-Time,On-Site,12.2,Code Review,M.Tech/M.E.,3,282,2.7,2026-01-24
IND2025010,QA Engineer,Infosys,MNC,Information Technology,Remote,Remote,Fresher (0-1 yr),Full-Time,Hybrid,3.8,Python,B.Tech/B.E.,2,162,3.7,2026-04-06
IND2025010,QA Engineer,Infosys,MNC,Information Technology,Remote,Remote,Fresher (0-1 yr),Full-Time,Hybrid,3.8,Postman,B.Tech/B.E.,2,162,3.7,2026-04-06
IND2025010,QA Engineer,Infosys,MNC,Information Technology,Remote,Remote,Fresher (0-1 yr),Full-Time,Hybrid,3.8,API Testing,B.Tech/B.E.,2,162,3.7,2026-04-06
